Annotator,ID,Learning_outcome,Remember,Understand,Apply,Analyze,Evaluate,Create
groundtruth,1,Develop a plan for their first internship.,,,,,,1
groundtruth,2,evaluate several different design options and formulate a simple network design.,,,,,1,
groundtruth,3,Demonstrate awareness of current discourses in a range of disciplines which bear on contemporary design;,,,1,,,
groundtruth,4,develop effective report writing and communication skills,,,,,,1
groundtruth,5,identify effective teaching strategies and resources for learning,1,,,,,
groundtruth,6,Communicate competently in a professional setting in a second or additional language;,,,,,,1
groundtruth,7,Evaluate different algorithms and implementations of basic abstract data types;,,,,,1,
groundtruth,8,Reflect on the role and effectiveness of law in regulating and facilitating commercial transactions.,,,,1,,
groundtruth,9,"Describe the basic biology of newborn, adult and tissue-specific stem cells and the status of research into their characterisation and role in health and disease;",,1,,,,
groundtruth,10,"Use cognitive, technical and creative skills to generate and evaluate at an abstract level complex ideas and concepts relevant to planning and environment law.",,,,,,1
groundtruth,11,Demonstrate your individual design skills and thinking through a bespoke design methodology;,,,1,,,
groundtruth,12,"Engage in an internationalised world and exhibit cross-cultural competence, through a deeper understanding the history of another culture and its political system",,1,,,,
groundtruth,13,"Apply social psychology theories to a range of contemporary social questions, including belonging, identity, attraction, aggression, conflict and negotiation.",,,1,,,
groundtruth,14,Engage in critical analysis and make reasoned and appropriate choices among alternatives;,,,,1,,
groundtruth,15,explain the key concepts and theories in Politics and International Relations;,,1,,,,
groundtruth,16,Formulate research questions that are congruent with a chosen research approach,,,,,,1
groundtruth,17,compare and contrast various protocols used in the Internet and contemporary applications,,,,,1,
groundtruth,18,Demonstrate an understanding of the purpose of providing timely and appropriate feedback and reporting to students and parents using accurate and reliable records of student achievement.,,1,,,,
groundtruth,19,Apply principles of cross- and intercultural engagement in various contexts.,,,1,,,
groundtruth,20,Analyse a variety of source materials,,,,1,,
A1,1,Develop a plan for their first internship.,,,,,,1
A1,2,evaluate several different design options and formulate a simple network design.,,,,,1,
A1,3,Demonstrate awareness of current discourses in a range of disciplines which bear on contemporary design;,,1,,,,
A1,4,develop effective report writing and communication skills,,,,,,1
A1,5,identify effective teaching strategies and resources for learning,1,,,,,
A1,6,Communicate competently in a professional setting in a second or additional language;,,,,,,1
A1,7,Evaluate different algorithms and implementations of basic abstract data types;,,,,,1,
A1,8,Reflect on the role and effectiveness of law in regulating and facilitating commercial transactions.,,,,1,,
A1,9,"Describe the basic biology of newborn, adult and tissue-specific stem cells and the status of research into their characterisation and role in health and disease;",,1,,,,
A1,10,"Use cognitive, technical and creative skills to generate and evaluate at an abstract level complex ideas and concepts relevant to planning and environment law.",,,,,1,
A1,11,Demonstrate your individual design skills and thinking through a bespoke design methodology;,,,1,,,
A1,12,"Engage in an internationalised world and exhibit cross-cultural competence, through a deeper understanding the history of another culture and its political system",,,1,,,
A1,13,"Apply social psychology theories to a range of contemporary social questions, including belonging, identity, attraction, aggression, conflict and negotiation.",,,1,,,
A1,14,Engage in critical analysis and make reasoned and appropriate choices among alternatives;,,,,,1,
A1,15,explain the key concepts and theories in Politics and International Relations;,,1,,,,
A1,16,Formulate research questions that are congruent with a chosen research approach,,,,,,1
A1,17,compare and contrast various protocols used in the Internet and contemporary applications,,,,,1,
A1,18,Demonstrate an understanding of the purpose of providing timely and appropriate feedback and reporting to students and parents using accurate and reliable records of student achievement.,,1,,,,
A1,19,Apply principles of cross- and intercultural engagement in various contexts.,,,1,,,
A1,20,Analyse a variety of source materials,,,1,,,
A2,1,Develop a plan for their first internship.,,,,,,1
A2,2,evaluate several different design options and formulate a simple network design.,,,,,1,
A2,3,Demonstrate awareness of current discourses in a range of disciplines which bear on contemporary design;,,1,,,,
A2,4,develop effective report writing and communication skills,,,1,,,
A2,5,identify effective teaching strategies and resources for learning,1,,,,,
A2,6,Communicate competently in a professional setting in a second or additional language;,,,,,,1
A2,7,Evaluate different algorithms and implementations of basic abstract data types;,,,,,1,
A2,8,Reflect on the role and effectiveness of law in regulating and facilitating commercial transactions.,,,,1,,
A2,9,"Describe the basic biology of newborn, adult and tissue-specific stem cells and the status of research into their characterisation and role in health and disease;",,1,,,,
A2,10,"Use cognitive, technical and creative skills to generate and evaluate at an abstract level complex ideas and concepts relevant to planning and environment law.",,,,,1,
A2,11,Demonstrate your individual design skills and thinking through a bespoke design methodology;,,,1,,,
A2,12,"Engage in an internationalised world and exhibit cross-cultural competence, through a deeper understanding the history of another culture and its political system",,,1,,,
A2,13,"Apply social psychology theories to a range of contemporary social questions, including belonging, identity, attraction, aggression, conflict and negotiation.",,,1,,,
A2,14,Engage in critical analysis and make reasoned and appropriate choices among alternatives;,,,,,1,
A2,15,explain the key concepts and theories in Politics and International Relations;,,1,,,,
A2,16,Formulate research questions that are congruent with a chosen research approach,,,,,,1
A2,17,compare and contrast various protocols used in the Internet and contemporary applications,,,,,1,
A2,18,Demonstrate an understanding of the purpose of providing timely and appropriate feedback and reporting to students and parents using accurate and reliable records of student achievement.,,1,,,,
A2,19,Apply principles of cross- and intercultural engagement in various contexts.,,,1,,,
A2,20,Analyse a variety of source materials,,,,1,,
